table_name
zalo_accounts
zalo_account_access
messages
users
organizations
orders
teams
app_settings
daily_message_stats
notifications
appointments
activity_logs
conversations
tags
order_histories
contacts
product_cache
customer_profiles
order_line_histories
knowledge_base
odoo_sync_states
quick_messages
tag_groups
chatbot_configs
